alpha,expectedWelfare,expectedPayment,expectedRevenue,ros
1.115000,36.594006,20.104634,16.489372,1.820178
1.120000,36.713435,20.238095,16.475340,1.814076
1.125000,36.831276,20.370370,16.460905,1.808081
1.130000,36.947555,20.501475,16.446080,1.802190
1.135000,37.062301,20.631424,16.430877,1.796401
1.140000,37.175541,20.760234,16.415307,1.790709
1.145000,37.287301,20.887918,16.399382,1.785113
1.150000,37.397606,21.014493,16.383113,1.779610
1.155000,37.506481,21.139971,16.366510,1.774197
1.160000,37.613952,21.264368,16.349584,1.768872
1.165000,37.720042,21.387697,16.332345,1.763633
1.170000,37.824774,21.509972,16.314803,1.758476
1.175000,37.928173,21.631206,16.296967,1.753401
1.180000,38.030260,21.751412,16.278847,1.748404
1.185000,38.131057,21.870605,16.260452,1.743484
1.190000,38.230586,21.988796,16.241791,1.738639
1.195000,38.328869,22.105997,16.222872,1.733867
1.200000,38.425926,22.222222,16.203704,1.729167
1.205000,38.521777,22.337483,16.184294,1.724535
1.210000,38.616442,22.451791,16.164652,1.719972
1.215000,38.709941,22.565158,16.144784,1.715474
1.220000,38.802293,22.677596,16.124698,1.711041
1.225000,38.893517,22.789116,16.104401,1.706671
1.230000,38.983630,22.899729,16.083901,1.702362
1.235000,39.072650,23.009447,16.063204,1.698113
1.240000,39.160597,23.118280,16.042317,1.693923
1.245000,39.247485,23.226238,16.021247,1.689791
1.250000,39.333333,23.333333,16.000000,1.685714
1.255000,39.418157,23.439575,15.978582,1.681692
1.260000,39.501974,23.544974,15.957000,1.677724
1.265000,39.584798,23.649539,15.935259,1.673808
1.270000,39.666646,23.753281,15.913365,1.669944
1.275000,39.747533,23.856209,15.891324,1.666129
1.280000,39.827474,23.958333,15.869141,1.662364
1.285000,39.906484,24.059663,15.846821,1.658647
1.290000,39.984576,24.160207,15.824370,1.654977
1.295000,40.061766,24.259974,15.801792,1.651352
1.300000,40.138067,24.358974,15.779093,1.647773
1.305000,40.213493,24.457216,15.756277,1.644238
1.310000,40.288056,24.554707,15.733349,1.640747
1.315000,40.361771,24.651458,15.710313,1.637298
1.320000,40.434650,24.747475,15.687175,1.633890
1.325000,40.506705,24.842767,15.663937,1.630523
1.330000,40.577949,24.937343,15.640605,1.627196
1.335000,40.648394,25.031211,15.617183,1.623908
1.340000,40.718052,25.124378,15.593673,1.620659
1.345000,40.786934,25.216853,15.570081,1.617447
1.350000,40.855053,25.308642,15.546411,1.614273
1.355000,40.922418,25.399754,15.522664,1.611134
1.360000,40.989043,25.490196,15.498847,1.608032
1.365000,41.054936,25.579976,15.474961,1.604964
1.370000,41.120109,25.669100,15.451010,1.601930
1.375000,41.184573,25.757576,15.426997,1.598930
1.380000,41.248337,25.845411,15.402927,1.595964
1.385000,41.311412,25.932611,15.378801,1.593029
1.390000,41.373807,26.019185,15.354623,1.590127
1.395000,41.435533,26.105137,15.330396,1.587256
1.400000,41.496599,26.190476,15.306122,1.584416
1.405000,41.557013,26.275208,15.281806,1.581606
1.410000,41.616787,26.359338,15.257448,1.578825
1.415000,41.675927,26.442874,15.233053,1.576074
1.420000,41.734444,26.525822,15.208623,1.573352
1.425000,41.792346,26.608187,15.184159,1.570657
1.430000,41.849642,26.689977,15.159666,1.567991
1.435000,41.906340,26.771196,15.135144,1.565352
1.440000,41.962449,26.851852,15.110597,1.562739
1.445000,42.017976,26.931949,15.086026,1.560154
1.450000,42.072929,27.011494,15.061435,1.557594
1.455000,42.127317,27.090493,15.036824,1.555059
1.460000,42.181147,27.168950,15.012197,1.552550
1.465000,42.234427,27.246871,14.987556,1.550065
1.470000,42.287164,27.324263,14.962901,1.547605
1.475000,42.339366,27.401130,14.938236,1.545169
1.480000,42.391040,27.477477,14.913562,1.542756
1.485000,42.442192,27.553311,14.888881,1.540366
1.490000,42.492831,27.628635,14.864195,1.538000
1.495000,42.542962,27.703456,14.839506,1.535655
1.500000,42.592593,27.777778,14.814815,1.533333
1.505000,42.641729,27.851606,14.790124,1.531033
1.510000,42.690379,27.924945,14.765434,1.528754
1.515000,42.738548,27.997800,14.740748,1.526497
1.520000,42.786242,28.070175,14.716066,1.524260
1.525000,42.833468,28.142077,14.691391,1.522044
1.530000,42.880231,28.213508,14.666724,1.519848
1.535000,42.926539,28.284473,14.642065,1.517671
1.540000,42.972396,28.354978,14.617417,1.515515
1.545000,43.017808,28.425027,14.592781,1.513378
1.550000,43.062782,28.494624,14.568158,1.511260
1.555000,43.107322,28.563773,14.543550,1.509161
1.560000,43.151435,28.632479,14.518957,1.507080
1.565000,43.195126,28.700745,14.494381,1.505018
1.570000,43.238400,28.768577,14.469823,1.502973
1.575000,43.281263,28.835979,14.445284,1.500947
1.580000,43.323719,28.902954,14.420766,1.498937
1.585000,43.365775,28.969506,14.396269,1.496946
1.590000,43.407434,29.035639,14.371794,1.494971
1.595000,43.448702,29.101358,14.347343,1.493013
1.600000,43.489583,29.166667,14.322917,1.491071
1.605000,43.530083,29.231568,14.298515,1.489146
1.610000,43.570207,29.296066,14.274141,1.487237
1.615000,43.609958,29.360165,14.249793,1.485344
1.620000,43.649342,29.423868,14.225474,1.483467
1.625000,43.688363,29.487179,14.201183,1.481605
1.630000,43.727025,29.550102,14.176923,1.479759
1.635000,43.765333,29.612640,14.152693,1.477927
1.640000,43.803292,29.674797,14.128495,1.476111
1.645000,43.840904,29.736575,14.104329,1.474309
1.650000,43.878176,29.797980,14.080196,1.472522
1.655000,43.915110,29.859013,14.056097,1.470749
1.660000,43.951710,29.919679,14.032032,1.468990
1.665000,43.987982,29.979980,14.008002,1.467245
1.670000,44.023928,30.039920,13.984008,1.465514
1.675000,44.059553,30.099502,13.960050,1.463797
1.680000,44.094860,30.158730,13.936130,1.462093
1.685000,44.129854,30.217606,13.912247,1.460402
1.690000,44.164537,30.276134,13.888403,1.458724
1.695000,44.198913,30.334317,13.864597,1.457060
1.700000,44.232987,30.392157,13.840830,1.455408
1.705000,44.266762,30.449658,13.817104,1.453769
1.710000,44.300241,30.506823,13.793418,1.452142
1.715000,44.333427,30.563654,13.769773,1.450528
1.720000,44.366324,30.620155,13.746169,1.448926
1.725000,44.398936,30.676329,13.722607,1.447335
1.730000,44.431265,30.732177,13.699088,1.445757
1.735000,44.463315,30.787704,13.675611,1.444191
1.740000,44.495090,30.842912,13.652178,1.442636
1.745000,44.526591,30.897803,13.628788,1.441092
1.750000,44.557823,30.952381,13.605442,1.439560
1.755000,44.588789,31.006648,13.582141,1.438040
1.760000,44.619490,31.060606,13.558884,1.436530
1.765000,44.649932,31.114259,13.535673,1.435031
1.770000,44.680115,31.167608,13.512507,1.433543
1.775000,44.710044,31.220657,13.489387,1.432066
1.780000,44.739721,31.273408,13.466313,1.430599
1.785000,44.769149,31.325864,13.443286,1.429143
1.790000,44.798331,31.378026,13.420305,1.427698
1.795000,44.827270,31.429898,13.397372,1.426262
1.800000,44.855967,31.481481,13.374486,1.424837
1.805000,44.884426,31.532779,13.351647,1.423421
1.810000,44.912650,31.583794,13.328856,1.422016
1.815000,44.940641,31.634527,13.306114,1.420620
1.820000,44.968402,31.684982,13.283420,1.419234
1.825000,44.995934,31.735160,13.260774,1.417857
1.830000,45.023241,31.785064,13.238178,1.416491
1.835000,45.050326,31.834696,13.215630,1.415133
1.840000,45.077190,31.884058,13.193132,1.413785
1.845000,45.103835,31.933153,13.170683,1.412445
1.850000,45.130265,31.981982,13.148283,1.411115
1.855000,45.156482,32.030548,13.125934,1.409794
1.860000,45.182487,32.078853,13.103634,1.408482
1.865000,45.208284,32.126899,13.081385,1.407179
1.870000,45.233874,32.174688,13.059186,1.405884
1.875000,45.259259,32.222222,13.037037,1.404598
1.880000,45.284442,32.269504,13.014939,1.403320
1.885000,45.309425,32.316534,12.992891,1.402051
1.890000,45.334211,32.363316,12.970895,1.400790
1.895000,45.358800,32.409850,12.948949,1.399537
1.900000,45.383195,32.456140,12.927054,1.398293
1.905000,45.407398,32.502187,12.905211,1.397057
1.910000,45.431412,32.547993,12.883419,1.395828
1.915000,45.455237,32.593560,12.861678,1.394608
1.920000,45.478877,32.638889,12.839988,1.393395
1.925000,45.502333,32.683983,12.818350,1.392191
1.930000,45.525607,32.728843,12.796764,1.390993
1.935000,45.548701,32.773471,12.775229,1.389804
1.940000,45.571616,32.817869,12.753746,1.388622
1.945000,45.594355,32.862039,12.732315,1.387448
1.950000,45.616919,32.905983,12.710936,1.386280
1.955000,45.639310,32.949702,12.689608,1.385121
1.960000,45.661530,32.993197,12.668333,1.383968
1.965000,45.683581,33.036472,12.647109,1.382823
1.970000,45.705464,33.079526,12.625937,1.381684
1.975000,45.727180,33.122363,12.604818,1.380553
1.980000,45.748733,33.164983,12.583750,1.379429
1.985000,45.770123,33.207389,12.562734,1.378311
1.990000,45.791352,33.249581,12.541771,1.377201
1.995000,45.812422,33.291562,12.520859,1.376097
2.000000,45.833333,33.333333,12.500000,1.375000
2.005000,45.854089,33.374896,12.479193,1.373910
2.010000,45.874690,33.416252,12.458437,1.372826
2.015000,45.895137,33.457403,12.437734,1.371748
2.020000,45.915433,33.498350,12.417083,1.370677
2.025000,45.935579,33.539095,12.396484,1.369613
2.030000,45.955576,33.579639,12.375937,1.368555
2.035000,45.975426,33.619984,12.355442,1.367503
2.040000,45.995130,33.660131,12.334999,1.366457
2.045000,46.014690,33.700081,12.314608,1.365418
2.050000,46.034107,33.739837,12.294269,1.364384
2.055000,46.053382,33.779400,12.273982,1.363357
2.060000,46.072517,33.818770,12.253747,1.362336
2.065000,46.091513,33.857950,12.233563,1.361320
2.070000,46.110372,33.896940,12.213432,1.360311
2.075000,46.129095,33.935743,12.193352,1.359307
2.080000,46.147682,33.974359,12.173323,1.358309
2.085000,46.166137,34.012790,12.153347,1.357317
2.090000,46.184459,34.051037,12.133422,1.356330
2.095000,46.202649,34.089101,12.113548,1.355350
2.100000,46.220711,34.126984,12.093726,1.354374
2.105000,46.238643,34.164687,12.073956,1.353405
2.110000,46.256448,34.202212,12.054237,1.352440
2.115000,46.274127,34.239559,12.034569,1.351481
2.120000,46.291681,34.276730,12.014952,1.350528
2.125000,46.309112,34.313725,11.995386,1.349580
2.130000,46.326420,34.350548,11.975872,1.348637
2.135000,46.343606,34.387198,11.956408,1.347699
2.140000,46.360672,34.423676,11.936996,1.346767
2.145000,46.377619,34.459984,11.917634,1.345840
2.150000,46.394447,34.496124,11.898323,1.344918
2.155000,46.411159,34.532096,11.879063,1.344001
2.160000,46.427755,34.567901,11.859854,1.343089
2.165000,46.444236,34.603541,11.840695,1.342182
2.170000,46.460603,34.639017,11.821586,1.341279
2.175000,46.476857,34.674330,11.802528,1.340382
2.180000,46.493000,34.709480,11.783520,1.339490
2.185000,46.509032,34.744470,11.764562,1.338602
2.190000,46.524954,34.779300,11.745654,1.337720
2.195000,46.540768,34.813971,11.726797,1.336842
2.200000,46.556474,34.848485,11.707989,1.335968
2.205000,46.572073,34.882842,11.689231,1.335100
2.210000,46.587566,34.917044,11.670523,1.334236
2.215000,46.602955,34.951091,11.651864,1.333376
2.220000,46.618240,34.984985,11.633255,1.332521
2.225000,46.633422,35.018727,11.614695,1.331671
2.230000,46.648502,35.052317,11.596185,1.330825
2.235000,46.663480,35.085757,11.577723,1.329984
2.240000,46.678359,35.119048,11.559311,1.329146
2.245000,46.693138,35.152190,11.540948,1.328314
2.250000,46.707819,35.185185,11.522634,1.327485
2.255000,46.722402,35.218034,11.504368,1.326661
2.260000,46.736889,35.250737,11.486151,1.325841
2.265000,46.751280,35.283297,11.467983,1.325026
2.270000,46.765575,35.315712,11.449863,1.324214
2.275000,46.779777,35.347985,11.431792,1.323407
2.280000,46.793885,35.380117,11.413768,1.322604
2.285000,46.807901,35.412108,11.395793,1.321805
2.290000,46.821825,35.443959,11.377866,1.321010
2.295000,46.835658,35.475672,11.359987,1.320219
2.300000,46.849401,35.507246,11.342155,1.319432
2.305000,46.863055,35.538684,11.324371,1.318649
2.310000,46.876620,35.569986,11.306635,1.317870
2.315000,46.890098,35.601152,11.288946,1.317095
2.320000,46.903488,35.632184,11.271304,1.316324
2.325000,46.916792,35.663082,11.253709,1.315556
2.330000,46.930010,35.693848,11.236162,1.314793
2.335000,46.943144,35.724483,11.218661,1.314033
2.340000,46.956194,35.754986,11.201208,1.313277
2.345000,46.969160,35.785359,11.183801,1.312524
2.350000,46.982043,35.815603,11.166440,1.311776
2.355000,46.994845,35.845718,11.149126,1.311031
2.360000,47.007565,35.875706,11.131859,1.310290
2.365000,47.020205,35.905567,11.114637,1.309552
2.370000,47.032764,35.935302,11.097462,1.308818
2.375000,47.045245,35.964912,11.080332,1.308087
2.380000,47.057647,35.994398,11.063249,1.307360
2.385000,47.069971,36.023760,11.046211,1.306637
2.390000,47.082217,36.052999,11.029219,1.305917
2.395000,47.094387,36.082116,11.012272,1.305200
2.400000,47.106481,36.111111,10.995370,1.304487
2.405000,47.118500,36.139986,10.978514,1.303777
2.410000,47.130444,36.168741,10.961703,1.303071
2.415000,47.142314,36.197378,10.944937,1.302368
2.420000,47.154111,36.225895,10.928215,1.301669
2.425000,47.165834,36.254296,10.911539,1.300972
2.430000,47.177485,36.282579,10.894906,1.300279
2.435000,47.189065,36.310746,10.878319,1.299590
2.440000,47.200573,36.338798,10.861776,1.298903
2.445000,47.212011,36.366735,10.845276,1.298220
2.450000,47.223379,36.394558,10.828821,1.297540
2.455000,47.234678,36.422267,10.812410,1.296863
2.460000,47.245907,36.449864,10.796043,1.296189
2.465000,47.257069,36.477350,10.779719,1.295518
2.470000,47.268163,36.504723,10.763439,1.294851
2.475000,47.279189,36.531987,10.747203,1.294186
2.480000,47.290149,36.559140,10.731009,1.293525
2.485000,47.301043,36.586184,10.714859,1.292866
2.490000,47.311871,36.613119,10.698752,1.292211
2.495000,47.322635,36.639947,10.682688,1.291559
2.500000,47.333333,36.666667,10.666667,1.290909
2.505000,47.343968,36.693280,10.650688,1.290263
2.510000,47.354539,36.719788,10.634752,1.289619
2.515000,47.365048,36.746190,10.618858,1.288978
2.520000,47.375493,36.772487,10.603007,1.288341
2.525000,47.385877,36.798680,10.587197,1.287706
2.530000,47.396199,36.824769,10.571430,1.287074
2.535000,47.406461,36.850756,10.555705,1.286445
2.540000,47.416661,36.876640,10.540021,1.285818
2.545000,47.426802,36.902423,10.524379,1.285195
2.550000,47.436883,36.928105,10.508779,1.284574
2.555000,47.446905,36.953686,10.493220,1.283956
2.560000,47.456868,36.979167,10.477702,1.283341
2.565000,47.466774,37.004548,10.462225,1.282728
2.570000,47.476621,37.029831,10.446790,1.282118
2.575000,47.486411,37.055016,10.431395,1.281511
2.580000,47.496144,37.080103,10.416041,1.280906
2.585000,47.505821,37.105093,10.400727,1.280305
2.590000,47.515442,37.129987,10.385454,1.279705
2.595000,47.525007,37.154785,10.370222,1.279109
2.600000,47.534517,37.179487,10.355030,1.278515
2.605000,47.543972,37.204095,10.339877,1.277923
2.610000,47.553373,37.228608,10.324765,1.277334
2.615000,47.562720,37.253027,10.309693,1.276748
2.620000,47.572014,37.277354,10.294660,1.276164
2.625000,47.581255,37.301587,10.279667,1.275583
2.630000,47.590443,37.325729,10.264714,1.275004
2.635000,47.599578,37.349779,10.249800,1.274427
2.640000,47.608662,37.373737,10.234925,1.273853
2.645000,47.617695,37.397606,10.220089,1.273282
2.650000,47.626676,37.421384,10.205293,1.272713
2.655000,47.635607,37.445072,10.190535,1.272146
2.660000,47.644487,37.468672,10.175815,1.271582
2.665000,47.653318,37.492183,10.161135,1.271020
2.670000,47.662098,37.515605,10.146493,1.270461
2.675000,47.670830,37.538941,10.131889,1.269903
2.680000,47.679513,37.562189,10.117324,1.269349
2.685000,47.688147,37.585351,10.102797,1.268796
2.690000,47.696734,37.608426,10.088307,1.268246
2.695000,47.705272,37.631416,10.073856,1.267698
2.700000,47.713763,37.654321,10.059442,1.267152
2.705000,47.722207,37.677141,10.045066,1.266609
2.710000,47.730605,37.699877,10.030728,1.266068
2.715000,47.738956,37.722529,10.016426,1.265529
2.720000,47.747261,37.745098,10.002163,1.264992
2.725000,47.755520,37.767584,9.987936,1.264458
2.730000,47.763734,37.789988,9.973746,1.263926
2.735000,47.771903,37.812310,9.959593,1.263396
2.740000,47.780027,37.834550,9.945477,1.262868
2.745000,47.788107,37.856709,9.931398,1.262342
2.750000,47.796143,37.878788,9.917355,1.261818
2.755000,47.804135,37.900786,9.903349,1.261297
2.760000,47.812084,37.922705,9.889379,1.260777
2.765000,47.819990,37.944545,9.875445,1.260260
2.770000,47.827853,37.966306,9.861547,1.259745
2.775000,47.835674,37.987988,9.847686,1.259232
2.780000,47.843452,38.009592,9.833860,1.258720
2.785000,47.851188,38.031119,9.820069,1.258211
2.790000,47.858883,38.052569,9.806315,1.257704
2.795000,47.866537,38.073942,9.792595,1.257199
2.800000,47.874150,38.095238,9.778912,1.256696
2.805000,47.881722,38.116459,9.765263,1.256195
2.810000,47.889253,38.137604,9.751650,1.255696
2.815000,47.896745,38.158674,9.738071,1.255199
2.820000,47.904197,38.179669,9.724528,1.254704
2.825000,47.911609,38.200590,9.711019,1.254211
2.830000,47.918982,38.221437,9.697545,1.253720
2.835000,47.926316,38.242210,9.684105,1.253231
2.840000,47.933611,38.262911,9.670700,1.252743
2.845000,47.940868,38.283538,9.657330,1.252258
2.850000,47.948087,38.304094,9.643993,1.251774
2.855000,47.955267,38.324577,9.630691,1.251293
2.860000,47.962411,38.344988,9.617422,1.250813
2.865000,47.969516,38.365329,9.604188,1.250335
2.870000,47.976585,38.385598,9.590987,1.249859
2.875000,47.983617,38.405797,9.577820,1.249385
2.880000,47.990612,38.425926,9.564686,1.248912
2.885000,47.997571,38.445985,9.551586,1.248442
2.890000,48.004494,38.465975,9.538519,1.247973
2.895000,48.011381,38.485895,9.525486,1.247506
2.900000,48.018232,38.505747,9.512485,1.247041
2.905000,48.025048,38.525531,9.499518,1.246577
2.910000,48.031829,38.545246,9.486583,1.246116
2.915000,48.038575,38.564894,9.473681,1.245656
2.920000,48.045287,38.584475,9.460812,1.245197
2.925000,48.051964,38.603989,9.447975,1.244741
2.930000,48.058607,38.623436,9.435171,1.244286
2.935000,48.065216,38.642817,9.422399,1.243833
2.940000,48.071791,38.662132,9.409660,1.243382
2.945000,48.078333,38.681381,9.396952,1.242932
2.950000,48.084842,38.700565,9.384277,1.242484
2.955000,48.091317,38.719684,9.371633,1.242038
2.960000,48.097760,38.738739,9.359021,1.241593
2.965000,48.104170,38.757729,9.346441,1.241150
2.970000,48.110548,38.776655,9.333893,1.240709
2.975000,48.116894,38.795518,9.321376,1.240269
2.980000,48.123208,38.814318,9.308890,1.239831
2.985000,48.129490,38.833054,9.296436,1.239395
2.990000,48.135740,38.851728,9.284012,1.238960
2.995000,48.141960,38.870339,9.271620,1.238527
3.000000,48.148148,38.888889,9.259259,1.238095
3.005000,48.154306,38.907377,9.246929,1.237665
3.010000,48.160432,38.925803,9.234629,1.237237
3.015000,48.166529,38.944168,9.222361,1.236810
3.020000,48.172595,38.962472,9.210122,1.236384
3.025000,48.178631,38.980716,9.197915,1.235961
3.030000,48.184637,38.998900,9.185737,1.235538
3.035000,48.190613,39.017024,9.173590,1.235118
3.040000,48.196560,39.035088,9.161473,1.234698
3.045000,48.202478,39.053093,9.149386,1.234281
3.050000,48.208367,39.071038,9.137329,1.233864
3.055000,48.214227,39.088925,9.125301,1.233450
3.060000,48.220058,39.106754,9.113304,1.233037
3.065000,48.225860,39.124524,9.101336,1.232625
3.070000,48.231635,39.142237,9.089398,1.232215
3.075000,48.237381,39.159892,9.077489,1.231806
3.080000,48.243099,39.177489,9.065610,1.231398
3.085000,48.248789,39.195030,9.053760,1.230993
3.090000,48.254452,39.212513,9.041939,1.230588
3.095000,48.260087,39.229941,9.030147,1.230185
3.100000,48.265695,39.247312,9.018384,1.229783
3.105000,48.271276,39.264627,9.006650,1.229383
3.110000,48.276831,39.281886,8.994944,1.228985
3.115000,48.282358,39.299090,8.983268,1.228587
3.120000,48.287859,39.316239,8.971620,1.228191
3.125000,48.293333,39.333333,8.960000,1.227797
3.130000,48.298782,39.350373,8.948409,1.227403
3.135000,48.304204,39.367358,8.936846,1.227012
3.140000,48.309600,39.384289,8.925311,1.226621
3.145000,48.314971,39.401166,8.913805,1.226232
3.150000,48.320316,39.417989,8.902326,1.225844
3.155000,48.325635,39.434760,8.890876,1.225458
3.160000,48.330930,39.451477,8.879453,1.225073
3.165000,48.336199,39.468141,8.868058,1.224689
3.170000,48.341444,39.484753,8.856691,1.224307
3.175000,48.346663,39.501312,8.845351,1.223925
3.180000,48.351858,39.517820,8.834039,1.223546
3.185000,48.357029,39.534275,8.822754,1.223167
3.190000,48.362175,39.550679,8.811496,1.222790
3.195000,48.367298,39.567032,8.800266,1.222414
3.200000,48.372396,39.583333,8.789063,1.222039
3.205000,48.377470,39.599584,8.777886,1.221666
3.210000,48.382521,39.615784,8.766737,1.221294
3.215000,48.387548,39.631934,8.755614,1.220923
3.220000,48.392552,39.648033,8.744519,1.220554
3.225000,48.397532,39.664083,8.733450,1.220185
3.230000,48.402490,39.680083,8.722407,1.219818
3.235000,48.407424,39.696033,8.711391,1.219452
3.240000,48.412336,39.711934,8.700401,1.219088
3.245000,48.417224,39.727786,8.689438,1.218724
3.250000,48.422091,39.743590,8.678501,1.218362
3.255000,48.426935,39.759345,8.667590,1.218001
3.260000,48.431756,39.775051,8.656705,1.217642
3.265000,48.436556,39.790710,8.645846,1.217283
3.270000,48.441333,39.806320,8.635013,1.216926
3.275000,48.446089,39.821883,8.624206,1.216570
3.280000,48.450823,39.837398,8.613425,1.216215
